WKT,name,description
"POINT (-117.1570355 32.7481995)",Better Buzz Coffee Hillcrest,
"POINT (-117.1709483 32.7280158)",Bird Rock Coffee Roasters,
"POINT (-117.2549584 32.9341887)",Bird Rock Coffee Roasters - Torrey Pines,
"POINT (-117.2327006 32.9514376)",Philz Coffee,
"POINT (-117.2326612 32.9532761)",Sidecar Doughnuts & Coffee,
"POINT (-117.2303288 32.93745)",Starbucks,
"POINT (-117.231704 32.952879)",Starbucks,
"POINT (-117.231278 32.953257)",Starbucks,
"POINT (-117.232066 32.939288)",Starbucks,
"POINT (-117.2469215 32.9499705)",Starbucks,
"POINT (-117.214103 32.920427)",Starbucks,
"POINT (-117.190078 32.961802)",Starbucks,
