Library Name,URL,Phone Number
Allied Gardens/Benjamin Library,https://www.sandiego.gov/public-library/locations/allied-gardens-benjamin-library,(858) 565-5800
Balboa Library,https://www.sandiego.gov/public-library/locations/balboa-library,(858) 565-5800
Carmel Mountain Ranch Library,https://www.sandiego.gov/public-library/locations/carmel-mountain-ranch-library,(858) 565-5800
Carmel Valley Library,https://www.sandiego.gov/public-library/locations/carmel-valley-library,(858) 565-5800
Central Library,https://www.sandiego.govhttps://www.sandiego.gov/public-library/central-library,
City Heights/Weingart Library,https://www.sandiego.gov/public-library/locations/city-heights-weingart-library-and-performance-annex,(858) 565-5800
Performance Annex & IDEA Lab,https://www.sandiego.govhttps://www.sandiego.gov/public-library/locations/city-heights-performance-annex,
Clairemont Library,https://www.sandiego.gov/public-library/locations/clairemont-library,(858) 565-5800
College-Rolando Library,https://www.sandiego.gov/public-library/locations/college-rolando-library,(858) 565-5800
Kensington-Normal Heights Library,https://www.sandiego.gov/public-library/locations/kensington-normal-heights-library,(858) 565-5800
La Jolla/Riford Library,https://www.sandiego.gov/public-library/locations/la-jolla-riford-library,(858) 565-5800
Linda Vista Library,https://www.sandiego.gov/public-library/locations/linda-vista-library,(858) 565-5800
Logan Heights Library,https://www.sandiego.gov/public-library/locations/logan-heights-library,(858) 565-5800
Mira Mesa Library,https://www.sandiego.gov/public-library/locations/mira-mesa-library,(858) 565-5800
Mission Hills-Hillcrest/Knox Library,https://www.sandiego.gov/public-library/locations/mission-hills-library,(858) 565-5800
Mission Valley Library,https://www.sandiego.gov/public-library/locations/mission-valley-library,(858) 565-5800
Mountain View/Beckwourth Library,https://www.sandiego.gov/public-library/locations/mountain-view-beckwourth-library,(858) 565-5800
North Clairemont Library,https://www.sandiego.gov/public-library/locations/north-clairemont-library,(858) 565-5800
North Park Library,https://www.sandiego.gov/public-library/locations/north-park-library,(858) 565-5800
North University Community Library,https://www.sandiego.gov/public-library/locations/north-university-community-library,(858) 565-5800
Oak Park Library,https://www.sandiego.gov/public-library/locations/oak-park-library,(858) 565-5800
Ocean Beach Library,https://www.sandiego.gov/public-library/locations/ocean-beach-library,(858) 565-5800
Otay Mesa-Nestor Library,https://www.sandiego.gov/public-library/locations/otay-mesa-nestor-library,(858) 565-5800
Pacific Beach/Taylor Library,https://www.sandiego.gov/public-library/locations/pacific-beach-taylor-library,(858) 565-5800
Paradise Hills Library,https://www.sandiego.gov/public-library/locations/paradise-hills-library,(858) 565-5800
Point Loma/Hervey Library,https://www.sandiego.gov/public-library/locations/point-loma-hervey-library,(858) 565-5800
Rancho Bernardo Library,https://www.sandiego.gov/public-library/locations/rancho-bernardo-library,(858) 565-5800
Rancho Peñasquitos Library,https://www.sandiego.gov/public-library/locations/rancho-penasquitos-library,(858) 565-5800
San Carlos Library,https://www.sandiego.gov/public-library/locations/san-carlos-library,(858) 565-5800
San Ysidro Library,https://www.sandiego.gov/public-library/locations/san-ysidro-library,(858) 565-5800
Scripps Miramar Ranch Library,https://www.sandiego.gov/public-library/locations/scripps-miramar-ranch-library,(858) 565-5800
Serra Mesa-Kearny Mesa Library,https://www.sandiego.gov/public-library/locations/serra-mesa-kearny-mesa-library,(858) 565-5800
Skyline Hills Library,https://www.sandiego.gov/public-library/locations/skyline-hills-library,(858) 565-5800
Tierrasanta Library,https://www.sandiego.gov/public-library/locations/tierrasanta-library,(858) 565-5800
University Community Library,https://www.sandiego.gov/public-library/locations/university-community-library,(858) 565-5800
University Heights Library,https://www.sandiego.gov/public-library/locations/university-heights-library,(858) 565-5800
Valencia Park/Malcolm X Library,https://www.sandiego.gov/public-library/locations/valencia-park-malcolm-x-library,(858) 565-5800
