WKT,NAME,WEBSITE,PHONE,ADDRESS,CITY,DISTRICT,ZIP
POINT (6276278.13004175 1832521.58989924),Coronado Public,https://coronadolibrary.org/,(619) 522-7390,640 Orange Avenue,"Coronado, CA",Coronado,92118
POINT (6277526.44005711 1880279.37991646),Balboa,http://www.sandiego.gov/public-library/,(858) 573-1390,4255 Mt. Abernathy Avenue,"San Diego, CA",San Diego Public (City),92117
POINT (6260871.60000193 1927670.92006348),Carmel Valley,http://www.sandiego.gov/public-library/,(858) 552-1668,3919 Townsgate Drive,"San Diego, CA",San Diego Public (City),92130
POINT (6246516.72005104 1887207.64994182),La Jolla/Riford,http://www.sandiego.gov/public-library/,(858) 552-1657,7555 Draper Ave,"La Jolla, CA",San Diego Public (City),92037
POINT (6287704.21009153 1913987.55989973),Mira Mesa,http://www.sandiego.gov/public-library/,(858) 538-8165,8405 New Salem St,"San Diego, CA",San Diego Public (City),92126
POINT (6260523.32998706 1850438.58997956),Point Loma/Hervey,http://www.sandiego.gov/public-library/,(619) 531-1539,3701 Voltaire Street,"San Diego, CA",San Diego Public (City),92107
POINT (6308824.22005674 1953700.32989946),Rancho Bernardo,http://www.sandiego.gov/public-library/,(858) 538-8163,17110 Bernardo Center Drive,"San Diego, CA",San Diego Public (City),92128
POINT (6294211.89994706 1929459.31995538),Rancho Penasquitos,http://www.sandiego.gov/public-library/,(858) 538-8159,13330 Salmon River Road,"San Diego, CA",San Diego Public (City),92129
POINT (6299216.22994584 1912423.02998173),Scripps Ranch,http://www.sandiego.gov/public-library/,(858) 538-8158,10301 Scripps Lake Drive,"San Diego, CA",San Diego Public (City),92131
POINT (6254283.16008782 1870181.58000003),Pacific Beach/Taylor,http://www.sandiego.gov/public-library/,(858) 581-9934,4275 Cass St,"San Diego, CA",San Diego Public (City),92109
POINT (6270232.99380265 1896795.06603123),North University Community,http://www.sandiego.gov/public-library/,(858) 581-9637,8820 Judicial Dr,"San Diego, CA",San Diego Public (City),92112
POINT (6269628.40001898 1891828.76001562),University Community,http://www.sandiego.gov/public-library/,(858) 552-1655,4155 Governor Drive,"San Diego, CA",San Diego Public (City),92122
POINT (6340194.06225662 1807159.84894684),Otay Ranch Branch,https://www.chulavistaca.gov/departments/library,(619) 397-5740,"2015 Birch Road, Suite 409","Chula Vista, CA",Chula Vista,91915
POINT (6296738.5422332 1952417.8681224),4S Ranch Branch,https://www.sdcl.org/,(858) 673-4697,10433 Reserve Drive,"San Diego, CA",San Diego County,92127
POINT (6245527.22008064 1953170.98010942),Cardiff-by-the-Sea Branch,https://www.sdcl.org/,(760) 753-4027,2081 Newcastle Ave.,"Cardiff-by-the-Sea,",San Diego County,92007
POINT (6250528.48997329 1929773.56006542),Del Mar Branch,https://www.sdcl.org/,(858) 755-1666,"1309 Camino Del Mar, Del Mar","Del Mar, CA",San Diego County,92014
POINT (6242735.24900021 1961820.0005722),Encinitas Branch,https://www.sdcl.org/,(760) 753-7376,540 Cornish Drive,"Encinitas, CA 92024",San Diego County,92024
POINT (6343237.37115215 1869090.04165907),El Cajon Branch,https://www.sdcl.org/,(619) 588-3718,201 E. Douglas,"El Cajon, CA",San Diego County,92020
POINT (6251577.49449563 1966563.42752807),24/7 Library Kiosk Encinitas,https://www.sdcl.org/,(858) 694-2415,501 N El Camino Real,"Encinitas, CA",San Diego County,92024
